StudentID,Exam_Score,Study_Hours,Age,Major
3613,96,20,22,CS
1410,95,18,21,English
3385,99,20,22,Math
2578,95,20,24,Math
2283,96,18,21,CS
2992,98,18,21,CS
2322,99,20,24,CS
1192,96,20,23,Biology
1962,99,18,20,Math
1299,97,20,22,Math
1051,95,17,20,CS
3333,97,18,20,English
3799,96,19,22,Biology
2373,94,13,18,CS
3645,90,12,18,CS
2739,90,16,20,CS
1860,92,15,19,CS
3551,93,19,22,Math
2374,91,15,19,Math
1411,91,13,18,CS
3784,94,20,24,Math
2987,94,18,21,CS
3824,91,18,21,CS
2174,94,14,18,CS
2749,92,16,20,Math
3669,91,18,21,Math
1180,94,15,19,CS
3699,91,19,22,Math
1322,93,16,20,Math
2869,90,17,20,CS
3108,89,15,20,Biology
2315,88,20,24,CS
1203,86,17,21,CS
1032,86,14,19,English
3664,85,19,23,English
2552,89,14,18,Biology
2292,88,18,21,Math
3254,87,11,18,CS
1478,86,13,18,Biology
3172,86,17,21,Math
3338,87,19,22,CS
1070,88,18,21,Math
2003,88,17,21,CS
1897,89,16,20,English
3274,89,13,18,CS
2480,85,14,19,Biology
2159,86,15,20,Math
3368,89,20,23,Math
2712,88,18,22,Math
3761,87,12,18,CS
3791,88,18,22,English
2731,86,16,20,Biology
1871,88,15,19,English
2025,85,18,22,Biology
1309,86,20,23,Math
2106,87,20,23,English
3304,85,14,19,CS
2459,86,16,20,CS
1134,87,18,22,CS
3018,85,19,23,Math
2474,85,15,20,Math
3245,86,16,20,CS
1658,80,12,18,Biology
1004,82,12,18,Math
3020,82,18,22,CS
1379,84,20,24,Math
3868,80,15,20,CS
1463,84,19,38,Biology
3420,82,17,21,CS
1443,82,14,19,English
3646,80,17,21,Biology
3487,83,20,24,CS
2149,81,16,21,CS
2597,82,20,24,Biology
2075,82,8,18,Biology
2667,83,19,23,Biology
2949,83,16,21,Biology
2714,84,15,20,CS
2558,84,17,21,Math
1184,81,10,18,CS
1942,81,15,20,Biology
3833,80,17,21,Biology
3442,84,20,33,Math
2105,82,14,20,CS
2465,84,14,19,Math
2902,82,14,20,Math
1122,83,19,23,Biology
1052,77,16,21,English
1965,78,14,20,English
3567,75,16,21,Biology
1818,79,16,21,Math
3957,77,18,23,English
1840,76,13,19,English
2609,76,14,20,Biology
1461,77,14,20,English
1691,76,10,18,Biology
1095,78,16,21,Biology
1402,75,15,21,Biology
3752,78,15,21,CS
1139,76,14,20,Math
1076,79,11,18,CS
1229,75,13,19,English
3423,70,12,19,Biology
1017,74,12,19,Biology
1893,74,14,20,English
3249,72,15,21,Biology
1315,71,19,24,Biology
2784,70,14,21,English
1610,72,15,21,Biology
2309,71,13,20,CS
3069,71,8,18,Biology
2511,73,14,20,Math
3802,70,14,20,English
2234,71,20,25,English
2047,65,12,20,Biology
3312,69,14,21,Biology
3509,67,13,20,Biology
2053,67,9,18,English
2614,67,16,22,Biology
1479,69,16,22,English
2764,63,14,21,Biology
1879,60,9,18,Biology
1414,60,16,23,English
3644,63,8,18,English
2722,63,14,21,English
1026,64,19,25,English
2611,60,9,18,Biology
1457,59,10,19,Biology
1194,55,11,20,English
2376,55,9,19,English
2188,52,5,18,English
1862,51,10,20,English
2350,53,7,18,English
2422,51,11,20,English
1330,31,3,18,CS
1144,100,20,24,CS
